;player;nationality;position;age;birth_year;games;games_starts;minutes;goals;assists;pens_made;pens_att;cards_yellow;cards_red;goals_per90;assists_per90;goals_assists_per90;goals_pens_per90;goals_assists_pens_per90;xg;npxg;xg_per90;npxg_per90;minutes_90s;shots_on_target;shots_free_kicks;shots_on_target_pct;shots_on_target_per90;goals_per_shot;goals_per_shot_on_target;npxg_per_shot;xg_net;npxg_net;passes_completed;passes;passes_pct;passes_total_distance;passes_progressive_distance;passes_completed_short;passes_short;passes_pct_short;passes_completed_medium;passes_medium;passes_pct_medium;passes_completed_long;passes_long;passes_pct_long;assisted_shots;passes_into_final_third;passes_into_penalty_area;crosses_into_penalty_area;progressive_passes;passes_live;passes_dead;passes_free_kicks;through_balls;passes_switches;crosses;corner_kicks;corner_kicks_in;corner_kicks_out;corner_kicks_straight;throw_ins;passes_offsides;passes_blocked;sca;sca_per90;sca_passes_live;sca_passes_dead;sca_dribbles;sca_shots;sca_fouled;gca;gca_per90;gca_passes_live;gca_passes_dead;gca_dribbles;gca_shots;gca_fouled;tackles;tackles_won;tackles_def_3rd;tackles_mid_3rd;tackles_att_3rd;dribble_tackles;dribbles_vs;dribble_tackles_pct;dribbled_past;blocks;blocked_shots;blocked_passes;interceptions;clearances;errors;touches;touches_def_pen_area;touches_def_3rd;touches_mid_3rd;touches_att_3rd;touches_att_pen_area;touches_live_ball;dribbles_completed;dribbles;dribbles_completed_pct;passes_received;miscontrols;dispossessed;cards_yellow_red;fouls;fouled;offsides;pens_won;pens_conceded;own_goals;ball_recoveries;aerials_won;aerials_lost;aerials_won_pct
1501;Fabien Lemoine;fr FRA;MF;34;1987;21.0;13.0;1117.0;0.0;1.0;0.0;0.0;5.0;0.0;0.0;0.08;0.08;0.0;0.08;0.3;0.3;0.02;0.02;12.4;0.0;0.0;0.0;0.0;0.0;0.0;0.07;-0.3;-0.3;783.0;888.0;88.2;13806.0;3809.0;336.0;371.0;90.6;324.0;351.0;92.3;85.0;112.0;75.9;10.0;61.0;3.0;1.0;59.0;861.0;27.0;23.0;0.0;15.0;6.0;1.0;0.0;1.0;0.0;2.0;0.0;5.0;22.0;1.77;20.0;2.0;0.0;0.0;0.0;1.0;0.08;1.0;0.0;0.0;0.0;0.0;35.0;22.0;20.0;14.0;1.0;17.0;41.0;41.5;24.0;21.0;4.0;17.0;14.0;24.0;1.0;1014.0;44.0;279.0;616.0;125.0;10.0;1014.0;8.0;12.0;66.7;722.0;9.0;8.0;0.0;27.0;18.0;0.0;0.0;0.0;0.0;101.0;9.0;8.0;52.9
1502;Tim Lemperle;de GER;FW,MF;19;2002;13.0;0.0;149.0;2.0;0.0;0.0;0.0;0.0;0.0;1.21;0.0;1.21;1.21;1.21;1.5;1.5;0.91;0.91;1.7;3.0;0.0;42.9;1.81;0.29;0.67;0.23;0.5;0.5;39.0;61.0;63.9;530.0;121.0;24.0;34.0;70.6;12.0;18.0;66.7;2.0;3.0;66.7;7.0;3.0;5.0;1.0;5.0;55.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;3.0;12.0;7.25;10.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;2.0;1.0;1.0;1.0;3.0;33.3;2.0;1.0;0.0;1.0;2.0;2.0;0.0;92.0;2.0;9.0;29.0;54.0;17.0;92.0;4.0;10.0;40.0;59.0;4.0;5.0;0.0;4.0;3.0;0.0;0.0;0.0;0.0;7.0;5.0;10.0;33.3
1503;Ruben Lendinez;es ESP;DF;18;2003;4.0;1.0;137.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02;0.02;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.02;0.0;0.0;40.0;50.0;80.0;773.0;260.0;11.0;13.0;84.6;21.0;24.0;87.5;6.0;11.0;54.5;0.0;6.0;0.0;0.0;2.0;46.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;1.31;1.0;0.0;0.0;1.0;0.0;1.0;0.66;1.0;0.0;0.0;0.0;0.0;3.0;3.0;1.0;2.0;0.0;3.0;8.0;37.5;5.0;4.0;0.0;4.0;2.0;6.0;0.0;68.0;6.0;26.0;36.0;6.0;2.0;68.0;0.0;0.0;0.0;36.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;1.0;0.0
1504;Clément Lenglet;fr FRA;DF;26;1995;21.0;7.0;826.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.11;0.11;0.0;0.11;0.2;0.2;0.02;0.02;9.2;1.0;0.0;50.0;0.11;0.0;0.0;0.09;-0.2;-0.2;743.0;820.0;90.6;14042.0;4898.0;265.0;285.0;93.0;381.0;392.0;97.2;80.0;111.0;72.1;2.0;62.0;2.0;0.0;57.0;802.0;16.0;12.0;2.0;13.0;1.0;0.0;0.0;0.0;0.0;4.0;2.0;7.0;9.0;0.98;7.0;0.0;0.0;1.0;0.0;4.0;0.44;3.0;0.0;0.0;0.0;0.0;20.0;11.0;11.0;7.0;2.0;8.0;13.0;61.5;5.0;7.0;3.0;4.0;13.0;21.0;0.0;891.0;66.0;286.0;573.0;35.0;5.0;891.0;1.0;2.0;50.0;685.0;5.0;2.0;0.0;19.0;4.0;0.0;0.0;1.0;0.0;60.0;16.0;25.0;39.0
1505;Aaron Lennon;eng ENG;MF,FW;34;1987;28.0;17.0;1551.0;2.0;0.0;0.0;0.0;2.0;0.0;0.12;0.0;0.12;0.12;0.12;1.3;1.3;0.07;0.07;17.2;4.0;0.0;33.3;0.23;0.17;0.5;0.11;0.7;0.7;252.0;382.0;66.0;3280.0;783.0;156.0;197.0;79.2;65.0;102.0;63.7;10.0;28.0;35.7;9.0;14.0;4.0;2.0;16.0;370.0;9.0;1.0;0.0;1.0;40.0;2.0;2.0;0.0;0.0;3.0;3.0;19.0;33.0;1.92;21.0;0.0;5.0;2.0;5.0;4.0;0.23;1.0;0.0;2.0;0.0;1.0;33.0;17.0;10.0;13.0;10.0;10.0;34.0;29.4;24.0;26.0;4.0;22.0;9.0;14.0;0.0;541.0;21.0;87.0;222.0;240.0;41.0;541.0;13.0;30.0;43.3;331.0;25.0;13.0;0.0;19.0;20.0;4.0;0.0;1.0;0.0;73.0;7.0;21.0;25.0
1506;Bernd Leno;de GER;GK;29;1992;4.0;4.0;360.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;76.0;115.0;66.1;2214.0;1594.0;18.0;18.0;100.0;28.0;28.0;100.0;29.0;67.0;43.3;0.0;0.0;0.0;0.0;0.0;71.0;43.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;100.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;127.0;102.0;127.0;0.0;0.0;0.0;127.0;0.0;0.0;0.0;49.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;1.0;75.0
1507;Christopher Lenz;de GER;DF;26;1994;15.0;6.0;664.0;0.0;1.0;0.0;0.0;6.0;0.0;0.0;0.14;0.14;0.0;0.14;0.2;0.2;0.03;0.03;7.4;0.0;0.0;0.0;0.0;0.0;0.0;0.04;-0.2;-0.2;374.0;521.0;71.8;6527.0;2547.0;172.0;209.0;82.3;152.0;201.0;75.6;42.0;86.0;48.8;13.0;25.0;5.0;2.0;28.0;401.0;120.0;12.0;1.0;1.0;43.0;21.0;12.0;6.0;0.0;87.0;0.0;12.0;24.0;3.25;15.0;7.0;0.0;1.0;1.0;2.0;0.27;1.0;1.0;0.0;0.0;0.0;29.0;15.0;22.0;6.0;1.0;12.0;21.0;57.1;9.0;9.0;4.0;5.0;7.0;21.0;0.0;608.0;27.0;175.0;272.0;163.0;7.0;608.0;4.0;8.0;50.0;326.0;11.0;4.0;0.0;15.0;5.0;0.0;0.0;0.0;0.0;60.0;14.0;13.0;51.9
1508;Léo Leroy;fr FRA;MF;21;2000;24.0;7.0;626.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.4;0.05;0.05;7.0;3.0;0.0;37.5;0.43;0.0;0.0;0.05;-0.4;-0.4;256.0;323.0;79.3;4070.0;1219.0;123.0;146.0;84.2;102.0;116.0;87.9;21.0;30.0;70.0;4.0;22.0;5.0;0.0;19.0;318.0;5.0;5.0;2.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;8.0;1.15;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.0;21.0;17.0;11.0;3.0;12.0;34.0;35.3;22.0;20.0;4.0;16.0;8.0;8.0;0.0;433.0;16.0;122.0;247.0;68.0;7.0;433.0;8.0;17.0;47.1;278.0;13.0;8.0;0.0;23.0;4.0;0.0;0.0;0.0;0.0;47.0;11.0;8.0;57.9
1509;Alexandre Letellier;fr FRA;GK;30;1990;1.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;100.0;78.0;63.0;1.0;1.0;100.0;0.0;0.0;0.0;2.0;2.0;100.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1510;Robert Lewandowski;pl POL;FW;32;1988;34.0;34.0;2946.0;35.0;3.0;5.0;5.0;2.0;0.0;1.07;0.09;1.16;0.92;1.01;34.8;30.9;1.06;0.94;32.7;75.0;3.0;48.1;2.29;0.19;0.4;0.2;0.2;-0.9;575.0;767.0;75.0;7309.0;1585.0;362.0;441.0;82.1;146.0;193.0;75.6;21.0;40.0;52.5;37.0;38.0;30.0;3.0;50.0;733.0;29.0;7.0;10.0;4.0;26.0;0.0;0.0;0.0;0.0;1.0;5.0;26.0;109.0;3.33;63.0;1.0;18.0;16.0;10.0;15.0;0.46;8.0;0.0;3.0;3.0;1.0;10.0;3.0;0.0;6.0;4.0;5.0;17.0;29.4;12.0;17.0;2.0;15.0;6.0;8.0;0.0;1152.0;14.0;47.0;433.0;682.0;243.0;1147.0;48.0;82.0;58.5;902.0;83.0;55.0;0.0;22.0;37.0;21.0;1.0;0.0;0.0;72.0;53.0;58.0;47.7
