"","PC01","PC02","PC03","PC04","PC05","PC06","PC07","PC08","PC09","PC10","position","assists_per90"
"1",0.311888267761227,0.112853095905075,1.61880754864553,0.150307212052339,1.72681527424769,0.931562175949849,-0.0998313380163657,-0.441720207021167,-0.58230633265672,-0.832735589357117,"DF",0.06
"2",-3.66656046816885,-2.29859684299226,-0.0196864025466107,-0.118702714872472,0.031122534436174,1.67247827437986,0.758424632236091,0.0722417047546032,0.796406308115656,0.0789219358368088,"DF",0
"3",-5.80479692139135,-0.518590652836655,-2.37222837461208,1.60018140566012,-0.442508532774997,-0.0779758314457075,1.23504345214049,0.0660156735788784,1.35219019449893,-0.376855528452432,"DF",0
"4",-1.71610552310047,5.87690376958912,2.1915015455213,2.33147902209566,-0.415442802673104,0.604358357600813,-0.135816057064425,-1.47722748854654,1.59070405683376,0.0734103579309667,"DF",0.12
"5",-0.0527634392016123,-0.683608317385333,3.22771274299139,0.341635038625076,-0.699662660726483,-0.101260160419731,-1.22002318871201,-0.980596927243289,-0.920401429468852,1.37478512542722,"DF",0.06
"6",-3.55714783565749,2.96191412483223,1.1059443611731,-0.123492455355234,-0.574799320927003,-1.251652605406,0.620579900043372,-0.506986132472569,-0.897041199594843,-0.700816371684742,"DF",0.08
"7",-4.35341559507853,-0.276637392363906,-0.542652075532251,-0.331385932328773,0.828462162537622,-2.35798191869624,0.796423177992763,0.778155971372416,0.619707294062807,-1.94583381673976,"DF",0.07
"8",-3.83588022844688,-2.16744998944287,-0.522206494290434,1.01834146764905,-0.147134619335026,1.61663062380364,-0.38965877592581,-0.434417260447514,-0.358456857145034,0.196513142025171,"DF",0
"9",0.581817405821306,0.865361187328329,1.95006774698911,-0.650288497654506,-0.123973334827811,-0.800798568321016,-0.00146563426347487,0.356518013079151,0.775974603537094,-0.932277664390529,"DF",0
"10",0.478152438707298,1.03671040319409,2.78426743615996,-0.455283487261757,0.380989477536748,-0.817132181437167,-0.551842659448564,-0.579584434031129,1.72142678297111,0.127920061090734,"DF",0.1
"11",-0.647135849116302,-2.59758271627262,1.14342997892727,0.583326423808347,-0.751056437348483,0.413077659589545,-1.17379760738312,0.224355061692393,-0.786445765029933,0.543429846891966,"DF",0.14
"12",-7.27607813047454,0.66487840409265,-2.30364644995949,1.21972400847852,-0.730208220276664,0.530342765114619,-0.548331952196344,-0.378622890967358,0.770281053628395,-0.106355876455127,"DF",0
"13",-0.799071311932999,-1.82739028681051,2.85881657108843,-0.307047876607592,-0.00598290531504964,0.00730615221732273,-0.703757368913416,-0.810923749131202,-0.213793843809371,0.0996147975782076,"DF",0
"14",-5.56134111731442,0.620468041677069,-2.86196058142696,2.04958846738933,-1.46504465188342,-5.31580494378408,0.802312740818793,-0.537962294194509,-0.04200892041272,-2.18862555241187,"DF",0
"15",-0.715507511458706,0.784514436926857,1.26873513833403,-1.1895828940767,-0.308211609186924,-0.762797270052169,0.91261560097163,0.248199274050355,0.517651587615264,-0.569702041615693,"DF",0.12
"16",-3.66421678665084,1.0384662779986,-1.97456643874401,2.08489017135756,1.81789029282326,-1.02913694657141,1.11603968929381,-0.0395154578722014,-0.718664994095522,-0.780232314032326,"DF",0.1
"17",-3.31919230973269,7.07276400803204,0.245385946466943,2.68303831150439,-1.10120111570783,-1.78662822945769,0.941453630750261,0.120196165324816,-2.02560060965559,-0.900581004532055,"DF",0.34
"18",-4.69644409748876,-2.33293408319867,-1.32252016887865,1.69067649266777,0.696815449062226,0.853670606747685,-0.435901721310273,-0.30985573875402,0.00871581896402019,0.0209384511425592,"DF",0
"19",-1.97400211780848,-4.36329862213714,2.54599258731342,0.761466734071637,-1.75109346758373,2.48690193944414,-0.283344852018976,1.35385385399764,0.256010919676526,0.757754545417692,"DF",0
"20",-2.18243815196672,7.79702645734554,2.38955060407244,4.9714929409982,-2.57816283290856,1.10444459873949,0.175163284744656,1.28769468445732,-0.896413970107191,-0.588300522201518,"DF",0.38
"21",-4.38665246493366,-2.9653290025873,0.56479263097882,0.343400370566245,-0.0964108167266276,0.405954080423042,-1.55709626445436,-0.423152144917495,-0.669757292963444,-0.298741668141933,"DF",0
"22",-3.66839721640318,6.9683535538411,1.84126755192613,2.25548661490067,-0.707756492012826,-1.66696048871825,-1.20269671020353,1.41201324591574,1.07776328566738,2.53141955358273,"DF",0.25
"23",-5.29410932571227,-1.14535291744879,-2.30232339622063,0.952296089593946,1.29198589617047,0.155909963526635,0.923729329806832,0.513041453882267,1.52111623030313,0.710337374648761,"DF",0
"24",-0.481261047310962,-2.32955638625274,0.386160279966154,-0.636783040313505,0.764821967751362,-0.134546118813081,0.944562611755485,-0.301913199576217,-0.350693387002189,0.987890574531156,"DF",0.03
